"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",4.73,1.82,0,0.01,0.09,
"Belgium",6.43,5.49,0,0.47,0.23,
"Bulgaria",0.64,0.19,0,4.93,0.55,
"Croatia",0.59,0.6,,2.54,0.01,
"Cyprus",0.48,0.29,,0.03,,
"Czech Republic",0.81,0.47,0,1.73,0.37,
"Denmark",17.26,4.01,0,0,0.01,
"Estonia",1.38,1.05,0.01,1.45,0.63,0
"Finland",3.92,4.3,0,0,0.4,
"France",3.82,1.87,0,0.76,0.03,
"Germany",4.06,2.14,0,0.57,0.14,
"Greece",0.45,0.51,,2.93,0.08,
"Hungary",2.06,0.27,0,0.56,0.06,
"Iceland",10.73,7.88,0.01,0,0.47,
"Ireland",3.54,2.13,,0.02,0.01,
"Italy",0.87,0.83,0,6.15,2.13,
"Latvia",1.32,0.47,,5.1,0.1,
"Liechtenstein",5.89,0.61,,0,,
"Lithuania",1.12,0.94,0,5.24,0.08,0
"Luxembourg",8.04,3.64,0,0.08,0.04,
"Malta",2.75,1.35,,0.53,,
"Netherlands",6.99,4.98,0.01,1.13,0.05,0
"Norway",28.8,6.06,0,,0.02,
"Poland",0.44,0.39,0,14.05,0.02,
"Portugal",3.42,2.24,0,1.2,0,
"Romania",0.64,0.2,,2.74,0,
"Slovakia",0.65,0.45,0,1.72,0.11,
"Slovenia",1.68,0.38,,0.68,0.02,
"Spain",1.02,1.17,0,0.71,0.07,
"Sweden",8.26,6.64,0,0,0.67,
"Switzerland",5.06,2.43,0.01,0,0.31,
"Turkey",1.67,0.3,,22.84,0,
"United Kingdom",4.62,2.31,0,0.06,,
"European Union",2.9,1.87,0,3.18,0.43,0