Region,Q_Year,BEV market share,Total car registrations
Austria,Q1 2019,3.15,80855
Austria,Q2 2019,2.49,95054
Austria,Q3 2019,3.02,82363
Austria,Q4 2019,2.62,71091
Austria,Q1 2020,4.45,54680
Austria,Q2 2020,4.09,58107
Austria,Q3 2020,6.1,67852
Austria,Q4 2020,10.33,68101
Austria,Q1 2021,10.42,63522
Austria,Q2 2021,12.32,70874
Austria,Q3 2021,15.85,55485
Austria,Q4 2021,18.5,49922
Austria,Q1 2022,13.7,52375
Austria,Q2 2022,13.03,56231
Austria,Q3 2022,17.61,54603
Austria,Q4 2022,19.41,51841
Austria,Q1 2023,17.82,63052
Austria,Q2 2023,19.07,63638
Austria,Q3 2023,20.5,56196
Austria,Q4 2023,22.62,56264
Austria,Q1 2024,17.07,63263
Austria,Q2 2024,15.83,71850
Austria,Q3 2024,18.7,55910
Austria,Q4 2024,19.1,62766
Austria,Q1 2025,21.47,66017
Austria,Q2 2025,22.53,77034
Austria,Q3 2025,20.28,72064
Austria,Q4 2025,20.75,69863
Austria,Q1 2026,22.46,77235
Austria,Q2 2026,26.02,87294
Belgium,Q1 2019,1.41,155865
Belgium,Q2 2019,1.56,154623
Belgium,Q3 2019,1.66,128761
Belgium,Q4 2019,1.9,110754
Belgium,Q1 2020,2.26,127416
Belgium,Q2 2020,2.29,89189
Belgium,Q3 2020,3.75,117002
Belgium,Q4 2020,5.81,97884
Belgium,Q1 2021,3.39,119237
Belgium,Q2 2021,4.48,113154
Belgium,Q3 2021,7.62,81176
Belgium,Q4 2021,10.61,69556
Belgium,Q1 2022,9.35,103146
Belgium,Q2 2022,8.2,92241
Belgium,Q3 2022,10.05,86103
Belgium,Q4 2022,13.89,84813
Belgium,Q1 2023,15.8,131484
Belgium,Q2 2023,17.14,132991
Belgium,Q3 2023,22.76,110373
Belgium,Q4 2023,24.15,101827
Belgium,Q1 2024,23.01,135140
Belgium,Q2 2024,25.97,128268
Belgium,Q3 2024,34.22,93160
Belgium,Q4 2024,34.26,91709
Belgium,Q1 2025,33.41,120939
Belgium,Q2 2025,32.18,113677
Belgium,Q3 2025,35.0,89252
Belgium,Q4 2025,39.19,90902
Belgium,Q1 2026,34.68,113805
Belgium,Q2 2026,37.49,116876
Bulgaria,Q1 2019,,9280
Bulgaria,Q2 2019,,10935
Bulgaria,Q3 2019,,9679
Bulgaria,Q4 2019,,9525
Bulgaria,Q1 2020,2.03,7250
Bulgaria,Q2 2020,1.81,5629
Bulgaria,Q3 2020,0.36,7320
Bulgaria,Q4 2020,0.86,7015
Bulgaria,Q1 2021,1.02,5572
Bulgaria,Q2 2021,1.53,7333
Bulgaria,Q3 2021,1.96,6118
Bulgaria,Q4 2021,3.45,5500
Bulgaria,Q1 2022,2.34,6674
Bulgaria,Q2 2022,3.98,7882
Bulgaria,Q3 2022,3.25,7435
Bulgaria,Q4 2022,4.84,6709
Bulgaria,Q1 2023,5.9,7123
Bulgaria,Q2 2023,4.37,10510
Bulgaria,Q3 2023,5.08,9749
Bulgaria,Q4 2023,4.27,10342
Bulgaria,Q1 2024,3.57,11528
Bulgaria,Q2 2024,3.99,11519
Bulgaria,Q3 2024,4.04,9346
Bulgaria,Q4 2024,3.94,10548
Bulgaria,Q1 2025,4.61,11507
Bulgaria,Q2 2025,4.8,12576
Bulgaria,Q3 2025,4.43,12133
Bulgaria,Q4 2025,5.66,13203
Bulgaria,Q1 2026,6.52,11465
Bulgaria,Q2 2026,8.85,14492
Croatia,Q1 2019,,12139
Croatia,Q2 2019,,26017
Croatia,Q3 2019,,13181
Croatia,Q4 2019,0.48,11601
Croatia,Q1 2020,0.57,10029
Croatia,Q2 2020,0.55,7407
Croatia,Q3 2020,1.51,10821
Croatia,Q4 2020,3.48,7827
Croatia,Q1 2021,1.26,10482
Croatia,Q2 2021,1.59,15806
Croatia,Q3 2021,3.1,11467
Croatia,Q4 2021,7.62,8043
Croatia,Q1 2022,2.47,9991
Croatia,Q2 2022,1.56,13555
Croatia,Q3 2022,4.17,12048
Croatia,Q4 2022,4.88,8334
Croatia,Q1 2023,4.28,13159
Croatia,Q2 2023,1.76,20276
Croatia,Q3 2023,2.74,13666
Croatia,Q4 2023,3.23,10593
Croatia,Q1 2024,1.26,15432
Croatia,Q2 2024,2.48,24159
Croatia,Q3 2024,5.25,13157
Croatia,Q4 2024,2.53,12272
Croatia,Q1 2025,1.35,15143
Croatia,Q2 2025,0.72,26808
Croatia,Q3 2025,2.15,14740
Croatia,Q4 2025,4.21,13150
Croatia,Q1 2026,4.62,16895
Croatia,Q2 2026,3.67,27269
Cyprus,Q1 2019,0.18,2763
Cyprus,Q2 2019,0.19,3778
Cyprus,Q3 2019,0.21,2924
Cyprus,Q4 2019,0.19,2683
Cyprus,Q1 2020,0.14,2949
Cyprus,Q2 2020,0.35,2023
Cyprus,Q3 2020,0.4,2725
Cyprus,Q4 2020,0.81,2454
Cyprus,Q1 2021,0.95,2746
Cyprus,Q2 2021,0.72,3048
Cyprus,Q3 2021,0.72,2795
Cyprus,Q4 2021,0.69,2035
Cyprus,Q1 2022,2.19,3059
Cyprus,Q2 2022,3.55,3073
Cyprus,Q3 2022,4.02,2938
Cyprus,Q4 2022,4.23,2556
Cyprus,Q1 2023,4.39,4057
Cyprus,Q2 2023,3.63,3585
Cyprus,Q3 2023,6.31,3946
Cyprus,Q4 2023,7.33,3152
Cyprus,Q1 2024,7.08,4465
Cyprus,Q2 2024,4.16,4326
Cyprus,Q3 2024,10.13,3513
Cyprus,Q4 2024,14.0,2436
Cyprus,Q1 2025,8.09,4465
Cyprus,Q2 2025,9.95,3757
Cyprus,Q3 2025,11.55,3583
Cyprus,Q4 2025,11.49,2829
Cyprus,Q1 2026,11.58,3670
Cyprus,Q2 2026,13.6,3574
Czech Rep.,Q1 2019,0.24,59616
Czech Rep.,Q2 2019,0.32,68882
Czech Rep.,Q3 2019,0.36,62612
Czech Rep.,Q4 2019,0.29,58805
Czech Rep.,Q1 2020,1.72,50194
Czech Rep.,Q2 2020,0.89,44835
Czech Rep.,Q3 2020,0.9,53290
Czech Rep.,Q4 2020,2.81,54652
Czech Rep.,Q1 2021,1.16,49534
Czech Rep.,Q2 2021,1.12,63271
Czech Rep.,Q3 2021,1.19,49019
Czech Rep.,Q4 2021,1.85,44928
Czech Rep.,Q1 2022,1.66,47391
Czech Rep.,Q2 2022,2.27,51525
Czech Rep.,Q3 2022,2.14,44927
Czech Rep.,Q4 2022,2.13,48188
Czech Rep.,Q1 2023,2.37,56341
Czech Rep.,Q2 2023,2.82,59207
Czech Rep.,Q3 2023,3.16,52016
Czech Rep.,Q4 2023,3.8,53855
Czech Rep.,Q1 2024,2.27,57605
Czech Rep.,Q2 2024,4.61,61616
Czech Rep.,Q3 2024,5.83,52776
Czech Rep.,Q4 2024,6.2,59600
Czech Rep.,Q1 2025,5.22,59686
Czech Rep.,Q2 2025,6.03,62953
Czech Rep.,Q3 2025,5.47,59798
Czech Rep.,Q4 2025,5.47,66282
Czech Rep.,Q1 2026,5.68,60550
Czech Rep.,Q2 2026,7.5,69258
Denmark,Q1 2019,1.52,66172
Denmark,Q2 2019,2.84,55925
Denmark,Q3 2019,2.59,51334
Denmark,Q4 2019,3.1,51979
Denmark,Q1 2020,4.38,48860
Denmark,Q2 2020,3.98,39564
Denmark,Q3 2020,7.15,53761
Denmark,Q4 2020,12.01,55977
Denmark,Q1 2021,6.82,43886
Denmark,Q2 2021,8.42,52603
Denmark,Q3 2021,17.44,43463
Denmark,Q4 2021,22.01,45380
Denmark,Q1 2022,17.39,34230
Denmark,Q2 2022,15.84,39319
Denmark,Q3 2022,20.75,35586
Denmark,Q4 2022,28.81,39188
Denmark,Q1 2023,29.79,39960
Denmark,Q2 2023,32.15,44384
Denmark,Q3 2023,36.93,39680
Denmark,Q4 2023,44.96,48774
Denmark,Q1 2024,41.15,36940
Denmark,Q2 2024,48.08,49422
Denmark,Q3 2024,54.8,39936
Denmark,Q4 2024,60.56,46816
Denmark,Q1 2025,66.48,36913
Denmark,Q2 2025,62.0,52641
Denmark,Q3 2025,70.2,44548
Denmark,Q4 2025,75.37,50539
Denmark,Q1 2026,80.02,43703
Denmark,Q2 2026,79.78,57332
Estonia,Q1 2019,0.26,6509
Estonia,Q2 2019,0.31,8069
Estonia,Q3 2019,0.35,6952
Estonia,Q4 2019,0.23,6055
Estonia,Q1 2020,0.78,5776
Estonia,Q2 2020,1.69,3610
Estonia,Q3 2020,1.98,5306
Estonia,Q4 2020,2.86,4586
Estonia,Q1 2021,1.66,5728
Estonia,Q2 2021,2.26,7269
Estonia,Q3 2021,1.86,5593
Estonia,Q4 2021,3.18,3803
Estonia,Q1 2022,2.83,5191
Estonia,Q2 2022,3.6,5918
Estonia,Q3 2022,3.33,5107
Estonia,Q4 2022,3.75,5390
Estonia,Q1 2023,4.33,5658
Estonia,Q2 2023,6.16,6473
Estonia,Q3 2023,7.21,5323
Estonia,Q4 2023,7.77,5366
Estonia,Q1 2024,6.72,4716
Estonia,Q2 2024,6.09,5451
Estonia,Q3 2024,5.88,5660
Estonia,Q4 2024,3.54,9559
Estonia,Q1 2025,10.56,2121
Estonia,Q2 2025,5.45,4035
Estonia,Q3 2025,6.55,3266
Estonia,Q4 2025,5.78,3633
Estonia,Q1 2026,6.12,4250
Estonia,Q2 2026,6.23,5729
European Union,Q1 2019,1.64,3326599
European Union,Q2 2019,1.57,3576242
European Union,Q3 2019,1.95,2988376
European Union,Q4 2019,2.51,3115114
European Union,Q1 2020,3.71,2475755
European Union,Q2 2020,3.53,1797994
European Union,Q3 2020,4.9,2770697
European Union,Q4 2020,8.62,2877004
European Union,Q1 2021,5.71,2560413
European Union,Q2 2021,7.5,2801673
European Union,Q3 2021,9.8,2168587
European Union,Q4 2021,14.22,2173471
European Union,Q1 2022,9.98,2246336
European Union,Q2 2022,9.88,2362680
European Union,Q3 2022,11.91,2179238
European Union,Q4 2022,16.46,2471876
European Union,Q1 2023,12.11,2650711
European Union,Q2 2023,13.72,2787942
European Union,Q3 2023,16.33,2502096
European Union,Q4 2023,16.36,2606967
European Union,Q1 2024,12.03,2768639
European Union,Q2 2024,13.02,2915204
European Union,Q3 2024,14.54,2305933
European Union,Q4 2024,15.14,2642605
European Union,Q1 2025,15.21,2715008
European Union,Q2 2025,15.94,2861560
European Union,Q3 2025,17.37,2480767
European Union,Q4 2025,20.98,2765496
European Union,Q1 2026,19.38,2822616
European Union,Q2 2026,21.92,3074067
Finland,Q1 2019,1.63,29104
Finland,Q2 2019,1.68,31154
Finland,Q3 2019,2.1,27667
Finland,Q4 2019,1.22,26263
Finland,Q1 2020,3.25,28270
Finland,Q2 2020,3.04,19124
Finland,Q3 2020,4.54,26028
Finland,Q4 2020,6.79,23008
Finland,Q1 2021,5.37,27976
Finland,Q2 2021,9.15,28756
Finland,Q3 2021,10.43,21927
Finland,Q4 2021,18.82,19818
Finland,Q1 2022,13.99,21729
Finland,Q2 2022,13.37,21767
Finland,Q3 2022,20.16,19415
Finland,Q4 2022,24.85,18776
Finland,Q1 2023,31.41,20966
Finland,Q2 2023,33.64,25907
Finland,Q3 2023,34.63,21702
Finland,Q4 2023,35.5,18927
Finland,Q1 2024,25.85,18444
Finland,Q2 2024,28.02,20710
Finland,Q3 2024,31.04,16346
Finland,Q4 2024,33.53,18564
Finland,Q1 2025,33.75,16700
Finland,Q2 2025,34.49,20556
Finland,Q3 2025,38.97,16686
Finland,Q4 2025,41.9,17939
Finland,Q1 2026,46.87,17202
Finland,Q2 2026,48.54,20055
France,Q1 2019,1.91,553335
France,Q2 2019,1.71,613107
France,Q3 2019,1.98,474925
France,Q4 2019,2.16,572912
France,Q1 2020,7.12,364679
France,Q2 2020,5.43,351119
France,Q3 2020,5.67,450900
France,Q4 2020,8.39,483420
France,Q1 2021,6.9,441791
France,Q2 2021,8.74,480974
France,Q3 2021,10.2,337608
France,Q4 2021,13.85,398630
France,Q1 2022,11.91,365360
France,Q2 2022,12.26,406620
France,Q3 2022,14.0,340087
France,Q4 2022,14.91,416968
France,Q1 2023,15.41,420887
France,Q2 2023,15.58,468889
France,Q3 2023,16.72,398848
France,Q4 2023,19.26,486099
France,Q1 2024,17.94,444902
France,Q2 2024,16.72,469984
France,Q3 2024,16.65,351016
France,Q4 2024,16.3,452510
France,Q1 2025,18.17,410085
France,Q2 2025,17.08,432119
France,Q3 2025,19.73,344580
France,Q4 2025,24.84,445368
France,Q1 2026,27.91,401555
France,Q2 2026,28.42,455610
Germany,Q1 2019,1.81,880092
Germany,Q2 2019,1.57,968908
Germany,Q3 2019,1.9,891158
Germany,Q4 2019,1.78,867100
Germany,Q1 2020,3.71,701362
Germany,Q2 2020,3.61,509260
Germany,Q3 2020,6.52,831209
Germany,Q4 2020,10.95,875847
Germany,Q1 2021,9.87,656448
Germany,Q2 2021,11.45,734433
Germany,Q3 2021,14.06,626671
Germany,Q4 2021,19.74,604571
Germany,Q1 2022,13.38,625953
Germany,Q2 2022,13.68,612015
Germany,Q3 2022,16.76,629898
Germany,Q4 2022,25.31,783472
Germany,Q1 2023,14.21,666818
Germany,Q2 2023,17.19,730052
Germany,Q3 2023,22.54,741196
Germany,Q4 2023,19.38,706543
Germany,Q1 2024,11.71,694785
Germany,Q2 2024,13.23,776856
Germany,Q3 2024,14.32,644433
Germany,Q4 2024,14.86,701257
Germany,Q1 2025,17.0,664571
Germany,Q2 2025,18.39,738218
Germany,Q3 2025,18.86,707559
Germany,Q4 2025,21.81,747243
Germany,Q1 2026,22.82,699404
Germany,Q2 2026,26.55,784989
Greece,Q1 2019,0.14,26289
Greece,Q2 2019,0.17,39268
Greece,Q3 2019,0.18,27332
Greece,Q4 2019,0.18,21337
Greece,Q1 2020,0.33,21390
Greece,Q2 2020,0.42,15180
Greece,Q3 2020,0.67,23476
Greece,Q4 2020,1.85,20931
Greece,Q1 2021,1.79,23439
Greece,Q2 2021,1.76,34923
Greece,Q3 2021,1.95,23394
Greece,Q4 2021,3.59,19155
Greece,Q1 2022,2.25,22427
Greece,Q2 2022,2.41,32371
Greece,Q3 2022,2.51,28138
Greece,Q4 2022,3.73,22347
Greece,Q1 2023,4.12,33772
Greece,Q2 2023,4.97,36590
Greece,Q3 2023,5.07,34148
Greece,Q4 2023,4.79,29974
Greece,Q1 2024,4.31,36668
Greece,Q2 2024,4.26,41352
Greece,Q3 2024,7.53,30015
Greece,Q4 2024,10.69,29040
Greece,Q1 2025,6.09,33196
Greece,Q2 2025,4.99,44966
Greece,Q3 2025,5.54,34070
Greece,Q4 2025,8.57,31967
Greece,Q1 2026,6.59,34812
Greece,Q2 2026,6.08,49153
Hungary,Q1 2019,1.11,34339
Hungary,Q2 2019,1.04,40209
Hungary,Q3 2019,1.36,40556
Hungary,Q4 2019,1.12,42802
Hungary,Q1 2020,1.58,32668
Hungary,Q2 2020,2.11,23014
Hungary,Q3 2020,2.24,34420
Hungary,Q4 2020,3.36,37929
Hungary,Q1 2021,1.74,32197
Hungary,Q2 2021,2.05,32619
Hungary,Q3 2021,3.7,29737
Hungary,Q4 2021,7.25,27367
Hungary,Q1 2022,4.44,28690
Hungary,Q2 2022,3.46,28723
Hungary,Q3 2022,4.13,28361
Hungary,Q4 2022,4.94,25758
Hungary,Q1 2023,5.59,29561
Hungary,Q2 2023,4.5,26906
Hungary,Q3 2023,5.03,26542
Hungary,Q4 2023,6.47,24711
Hungary,Q1 2024,7.23,31673
Hungary,Q2 2024,7.47,31664
Hungary,Q3 2024,7.3,25715
Hungary,Q4 2024,6.25,32559
Hungary,Q1 2025,7.32,32899
Hungary,Q2 2025,8.47,33199
Hungary,Q3 2025,9.4,29848
Hungary,Q4 2025,8.89,33494
Hungary,Q1 2026,8.76,36455
Hungary,Q2 2026,11.2,38450
Ireland,Q1 2019,2.24,64126
Ireland,Q2 2019,3.12,16632
Ireland,Q3 2019,3.07,33187
Ireland,Q4 2019,14.85,3164
Ireland,Q1 2020,3.31,49794
Ireland,Q2 2020,7.73,3090
Ireland,Q3 2020,5.45,31630
Ireland,Q4 2020,10.5,3810
Ireland,Q1 2021,5.86,48030
Ireland,Q2 2021,9.57,15823
Ireland,Q3 2021,9.46,36892
Ireland,Q4 2021,19.75,4187
Ireland,Q1 2022,12.5,49890
Ireland,Q2 2022,14.44,15286
Ireland,Q3 2022,16.7,36279
Ireland,Q4 2022,30.7,3804
