Year,Region,BEV,PHEV,HEV,Gas/Other,Diesel,Petrol
2020,Austria,6.4,3.1,10.5,0.2,36.5,43.3
2020,Belgium,3.5,7.3,3.5,0.9,32.9,51.8
2020,Bulgaria,0.6,0.2,1.9,0.7,11.8,84.8
2020,Croatia,1.5,0.4,6.0,2.0,35.5,54.6
2020,Cyprus,0.4,0.8,14.1,0.0,28.6,56.1
2020,Czech Rep.,1.6,1.0,6.3,1.3,29.4,60.4
2020,Denmark,7.2,9.2,4.9,0.0,22.6,56.2
2020,Estonia,1.8,0.4,14.5,3.5,24.7,55.0
2020,European Union,5.4,5.1,11.9,2.1,27.9,47.5
2020,Finland,4.4,13.7,19.4,1.9,13.3,47.3
2020,France,6.7,4.5,10.2,1.0,30.6,46.9
2020,Germany,6.7,6.9,11.2,0.5,28.1,46.7
2020,Greece,0.8,1.8,14.5,2.2,27.5,53.2
2020,Hungary,2.4,2.3,24.8,0.3,21.6,48.6
2020,Ireland,4.5,2.8,12.4,0.0,43.3,36.9
2020,Italy,2.4,2.0,16.1,9.1,32.7,37.8
2020,Latvia,2.3,0.5,14.0,1.0,34.1,48.0
2020,Lithuania,1.1,0.0,20.6,0.2,17.3,60.8
2020,Luxembourg,5.5,5.9,8.4,0.0,36.8,43.4
2020,Netherlands,20.5,4.2,13.4,0.6,3.6,57.7
2020,Norway,54.3,20.4,8.7,0.0,8.6,8.0
2020,Poland,0.9,1.1,15.5,2.2,18.5,61.9
2020,Portugal,5.4,8.2,8.2,1.3,32.8,44.2
2020,Romania,2.2,0.8,11.2,7.3,26.6,51.9
2020,Slovakia,1.2,1.1,9.5,1.2,25.0,61.9
2020,Slovenia,3.1,0.1,3.2,0.3,33.2,60.1
2020,Spain,2.1,2.7,16.1,1.5,27.7,49.8
2020,Sweden,9.6,22.6,7.7,1.2,22.0,36.9
2020,United Kingdom,6.6,4.1,17.8,0.0,16.0,55.4
2021,Austria,13.9,6.1,17.5,0.0,24.3,38.1
2021,Belgium,5.9,12.5,5.1,0.8,23.7,52.0
2021,Bulgaria,1.8,0.5,2.7,0.0,22.4,72.7
2021,Croatia,2.9,0.9,14.1,4.4,25.3,52.5
2021,Cyprus,0.8,0.9,23.3,0.0,14.4,60.6
2021,Czech Rep.,1.3,1.8,12.4,1.5,24.0,59.1
2021,Denmark,13.5,21.8,17.1,0.0,9.8,37.8
2021,Estonia,2.2,1.1,28.3,2.1,18.3,48.1
2021,European Union,9.1,8.9,19.8,2.8,19.6,39.9
2021,Finland,10.3,20.5,28.5,0.9,8.5,31.2
2021,France,9.8,8.5,17.5,3.0,21.1,40.2
2021,Germany,13.6,12.4,16.4,0.5,20.0,37.1
2021,Greece,2.2,4.7,23.2,3.4,17.4,49.2
2021,Hungary,3.5,3.5,39.5,0.6,15.6,37.3
2021,Ireland,8.2,7.5,18.3,0.0,33.4,32.5
2021,Italy,4.6,4.8,29.0,9.5,22.2,30.0
2021,Latvia,2.9,1.0,22.9,2.0,23.2,48.0
2021,Lithuania,3.7,1.3,13.5,1.0,15.4,65.2
2021,Luxembourg,10.5,10.0,16.3,0.0,25.2,38.0
2021,Netherlands,19.8,9.6,22.2,0.7,2.1,45.6
2021,Norway,64.5,21.7,5.5,0.0,4.0,4.2
2021,Poland,1.6,2.0,29.2,3.0,12.2,51.9
2021,Portugal,9.0,10.7,13.0,2.4,21.9,43.0
2021,Romania,5.2,0.0,25.3,13.2,16.8,39.4
2021,Slovakia,1.5,1.5,20.0,1.6,19.7,55.7
2021,Slovenia,3.2,0.6,11.4,1.1,24.0,59.7
2021,Spain,2.8,5.0,25.5,1.6,19.9,45.1
2021,Sweden,19.1,25.9,7.4,0.9,16.1,30.7
2021,United Kingdom,11.6,7.0,27.0,0.0,8.2,46.3
2022,Austria,15.9,6.2,19.0,0.0,22.4,36.5
2022,Belgium,10.3,16.2,7.5,0.8,16.4,48.9
2022,Bulgaria,3.5,0.5,2.5,0.0,20.1,73.4
2022,Croatia,3.1,1.9,18.6,4.1,20.8,51.4
2022,Cyprus,3.5,2.0,29.9,0.0,5.1,59.5
2022,Czech Rep.,2.0,1.9,14.7,2.5,23.4,55.5
2022,Denmark,20.8,17.8,19.0,0.0,6.8,35.5
2022,Estonia,3.4,2.0,33.3,1.3,16.2,43.8
2022,European Union,12.1,9.4,22.6,3.0,16.4,36.4
2022,Finland,17.8,19.8,31.5,0.8,6.6,23.6
2022,France,13.3,8.3,21.8,3.8,15.6,37.2
2022,Germany,17.8,13.7,17.5,0.6,17.8,32.6
2022,Greece,2.7,5.2,27.6,3.5,16.3,44.8
2022,Hungary,4.2,4.4,38.1,0.8,12.8,39.7
2022,Ireland,14.9,7.3,20.2,0.1,26.8,30.7
2022,Italy,3.7,5.0,34.2,9.8,19.6,27.8
2022,Latvia,6.4,1.8,25.9,2.0,17.0,47.0
2022,Lithuania,5.3,2.6,18.5,1.5,14.5,57.6
2022,Luxembourg,15.2,9.1,19.1,0.0,21.9,34.6
2022,Netherlands,23.5,11.1,25.0,0.7,1.5,38.3
2022,Norway,79.3,9.2,5.8,0.0,3.1,2.5
2022,Poland,2.7,2.3,32.6,2.9,11.1,48.4
2022,Portugal,11.4,10.3,15.4,3.5,17.9,41.6
2022,Romania,9.0,0.0,26.6,10.4,12.8,41.2
2022,Slovakia,1.8,2.0,22.0,2.2,16.4,55.7
2022,Slovenia,4.9,1.3,13.3,1.5,19.4,59.5
2022,Spain,3.8,5.9,29.4,1.8,17.2,41.9
2022,Sweden,33.0,23.1,8.9,1.7,11.5,21.9
2022,United Kingdom,16.6,6.3,29.7,0.0,5.1,42.3
2023,Austria,19.9,7.1,21.2,0.0,19.5,32.3
2023,Belgium,19.6,21.0,7.7,0.8,8.8,42.2
2023,Bulgaria,4.8,0.9,1.8,0.1,16.0,76.3
2023,Croatia,2.8,1.7,22.3,3.0,20.5,49.6
2023,Cyprus,5.3,3.5,38.2,0.0,3.0,49.9
2023,Czech Rep.,3.0,2.4,18.2,1.8,22.6,52.0
2023,Denmark,36.3,10.0,17.5,0.0,4.7,31.5
2023,Estonia,6.3,2.5,39.7,0.3,12.4,38.8
2023,European Union,14.6,7.7,25.8,3.0,13.6,35.3
2023,Finland,33.8,20.7,25.6,0.5,4.7,14.8
2023,France,16.8,9.2,24.4,3.8,9.7,36.2
2023,Germany,18.4,6.2,23.4,0.5,17.1,34.4
2023,Greece,4.7,6.6,30.9,2.8,13.1,41.9
2023,Hungary,5.4,5.1,41.8,0.5,12.1,35.0
2023,Ireland,18.6,8.5,20.5,0.0,22.3,30.1
2023,Italy,4.2,4.4,36.1,9.2,17.5,28.6
2023,Latvia,8.9,1.9,29.2,1.8,15.6,42.7
2023,Lithuania,7.5,0.0,42.7,0.0,11.7,38.1
2023,Luxembourg,22.5,9.8,19.3,0.0,15.2,33.3
2023,Netherlands,30.8,12.7,24.4,0.6,1.1,30.4
2023,Norway,82.4,8.0,6.0,0.0,2.5,1.2
2023,Poland,3.6,2.8,39.4,2.7,9.9,41.7
2023,Portugal,18.2,13.6,14.5,5.6,12.0,36.1
2023,Romania,10.6,0.0,30.6,12.2,11.3,35.3
2023,Slovakia,2.7,3.4,27.5,2.1,17.3,47.1
2023,Slovenia,8.9,2.1,10.0,1.0,18.1,59.8
2023,Spain,5.4,6.5,31.9,2.8,12.5,40.8
2023,Sweden,38.7,21.1,8.1,2.3,8.2,21.5
2023,United Kingdom,16.5,7.4,31.6,0.0,3.8,40.7
2024,Austria,17.6,6.7,25.3,0.0,17.4,33.1
2024,Belgium,28.5,15.0,9.2,0.8,4.9,41.7
2024,Bulgaria,3.9,1.1,2.3,0.0,16.3,76.4
2024,Croatia,2.8,2.2,27.3,2.2,18.8,46.9
2024,Cyprus,7.4,4.1,40.0,0.0,2.8,45.7
2024,Czech Rep.,4.7,2.1,22.0,2.1,21.2,47.9
2024,Denmark,51.5,4.1,17.3,0.0,4.1,23.1
2024,Estonia,5.2,5.0,45.4,0.6,17.4,26.4
2024,European Union,13.6,7.1,30.9,3.1,11.9,33.3
2024,Finland,29.5,20.1,30.4,0.2,4.6,15.2
2024,France,16.9,8.5,34.3,3.5,7.3,29.5
2024,Germany,13.5,6.8,26.8,0.5,17.2,35.2
2024,Greece,6.4,6.0,42.3,2.5,7.2,35.7
2024,Hungary,7.0,4.7,46.1,0.3,12.1,29.8
2024,Ireland,14.4,10.4,22.2,0.0,22.5,30.5
2024,Italy,4.2,3.3,40.0,9.4,13.8,29.2
2024,Latvia,7.3,4.6,35.2,2.2,17.0,33.7
2024,Lithuania,5.9,5.6,46.1,1.9,14.4,26.0
2024,Luxembourg,25.1,7.5,20.6,0.0,14.7,32.1
2024,Netherlands,34.7,13.8,28.1,0.6,1.0,21.9
2024,Norway,88.9,2.7,5.3,0.0,2.3,0.8
2024,Poland,3.0,2.7,45.1,3.0,8.9,37.4
2024,Portugal,19.9,13.5,16.7,7.2,8.8,33.9
2024,Romania,7.1,0.0,31.4,12.6,11.6,37.4
2024,Slovakia,2.4,2.4,30.2,1.9,15.9,47.2
2024,Slovenia,5.9,2.2,10.5,1.6,18.2,61.6
2024,Spain,5.6,5.8,38.6,3.3,9.5,37.2
2024,Sweden,35.0,23.4,10.2,1.9,7.0,22.5
2024,United Kingdom,18.3,8.0,33.1,0.0,3.4,37.1
2025,Austria,21.3,10.1,29.1,0.0,11.6,27.9
2025,Belgium,34.7,9.5,11.3,0.8,3.1,40.6
2025,Bulgaria,4.9,1.1,4.1,0.4,10.8,78.7
2025,Croatia,1.8,3.6,32.3,1.8,14.1,46.3
2025,Cyprus,10.1,5.3,47.1,0.0,2.7,34.8
2025,Czech Rep.,5.6,4.4,23.0,2.6,17.1,47.3
2025,Denmark,68.5,2.5,13.6,0.0,2.6,12.7
2025,Estonia,6.6,10.7,51.7,0.0,9.1,21.8
2025,European Union,17.4,9.4,34.5,3.3,8.9,26.6
2025,Finland,37.2,20.2,27.2,0.0,4.1,11.3
2025,France,20.0,6.7,43.9,3.4,4.9,21.2
2025,Germany,19.1,10.9,28.6,0.4,13.8,27.2
2025,Greece,6.2,8.1,50.7,3.3,3.4,28.3
2025,Hungary,8.5,5.5,50.5,0.5,11.1,23.9
2025,Ireland,18.9,15.2,23.8,0.0,17.1,25.1
2025,Italy,6.2,6.4,44.1,9.2,9.7,24.4
2025,Latvia,7.1,12.2,0.0,1.8,13.9,65.0
2025,Lithuania,7.5,10.6,46.7,1.6,12.3,21.3
2025,Luxembourg,26.9,7.9,29.3,0.0,9.9,26.0
2025,Netherlands,40.2,18.9,26.4,0.4,1.0,13.1
2025,Norway,95.9,1.5,1.3,0.0,1.0,0.3
2025,Poland,7.2,5.7,45.7,3.2,7.1,31.0
2025,Portugal,23.2,15.2,22.3,9.0,5.8,24.5
2025,Romania,5.6,0.0,49.2,14.3,8.1,22.7
2025,Slovakia,4.7,4.4,34.6,1.8,13.6,40.9
2025,Slovenia,11.2,3.4,13.8,0.9,15.1,55.6
2025,Spain,8.8,10.8,42.0,5.2,5.5,27.7
2025,Sweden,36.5,26.7,11.1,0.7,5.6,19.4
2025,United Kingdom,23.4,11.1,36.9,0.0,2.3,26.2
2026,Austria,24.3,11.0,30.2,0.0,9.8,24.6
2026,Belgium,36.1,5.7,12.3,0.9,2.8,42.3
2026,Bulgaria,7.8,1.8,6.2,0.1,15.4,68.6
2026,Croatia,4.0,6.1,39.6,0.9,12.2,37.2
2026,Cyprus,12.6,5.7,50.3,0.0,1.5,29.9
2026,Czech Rep.,6.6,5.0,23.9,2.1,18.3,43.9
2026,Denmark,79.9,0.7,11.6,0.0,2.3,5.5
2026,Estonia,6.2,8.7,58.3,0.0,11.2,15.6
2026,European Union,20.7,9.8,37.3,2.6,7.5,22.2
2026,Finland,47.8,12.8,27.9,0.0,3.5,8.1
2026,France,28.2,5.6,45.3,3.4,2.6,14.9
2026,Germany,24.8,11.0,28.8,0.5,13.0,21.9
2026,Greece,6.3,6.2,56.6,3.0,2.5,25.4
2026,Hungary,10.0,8.0,51.4,0.5,9.5,20.6
2026,Ireland,23.7,14.7,27.7,0.0,12.9,21.1
2026,Italy,8.5,9.0,49.5,6.3,6.9,19.8
2026,Latvia,7.4,10.7,0.0,2.6,12.0,67.3
2026,Lithuania,7.7,12.1,52.5,1.8,10.2,15.7
2026,Luxembourg,29.2,5.8,33.6,0.0,8.2,23.2
2026,Netherlands,36.5,24.0,29.9,0.4,1.2,8.0
2026,Norway,97.6,0.7,0.7,0.0,0.9,0.2
2026,Poland,5.3,8.6,50.5,2.4,6.0,27.2
2026,Portugal,25.3,14.3,28.4,6.2,3.7,22.1
2026,Romania,8.5,0.0,57.9,8.7,6.4,18.5
2026,Slovakia,6.2,4.3,35.0,2.1,12.1,40.3
2026,Slovenia,16.5,3.7,18.9,1.2,12.4,47.4
2026,Spain,9.8,12.0,47.3,3.5,3.7,23.7
2026,Sweden,41.5,24.6,8.5,0.4,6.4,18.6
2026,United Kingdom,25.0,13.0,37.7,0.0,1.8,22.5
